epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,849.261,0.77007,0.49501,1.07448,0.93071,0.9116,0.95444,0.79368,0.8352,0.45384,1.14543,0.000737037,0.000737037,0.000737037
70,861.581,0.78348,0.49786,1.07529,0.93448,0.9142,0.94447,0.78426,0.8214,0.46071,1.13137,0.000731538,0.000731538,0.000731538
71,873.941,0.79088,0.5337,1.09162,0.89558,0.90044,0.94627,0.79415,0.79654,0.44734,1.11659,0.000726038,0.000726038,0.000726038
72,886.252,0.79815,0.51818,1.08928,0.91233,0.86129,0.93209,0.77297,0.80582,0.47424,1.11718,0.000720539,0.000720539,0.000720539
73,898.622,0.77635,0.49603,1.07808,0.94411,0.8931,0.94069,0.78521,0.81042,0.45215,1.1315,0.00071504,0.00071504,0.00071504
74,910.953,0.76405,0.49254,1.06975,0.90432,0.89362,0.92744,0.77114,0.82159,0.45621,1.12794,0.00070954,0.00070954,0.00070954
75,923.265,0.76227,0.47985,1.06397,0.93858,0.89323,0.92819,0.77206,0.80722,0.51761,1.12331,0.000704041,0.000704041,0.000704041
76,935.594,0.75671,0.48944,1.07546,0.941,0.90397,0.94958,0.80581,0.79303,0.46823,1.11686,0.000698541,0.000698541,0.000698541
77,947.973,0.75825,0.46208,1.06478,0.92268,0.89066,0.92893,0.77455,0.82479,0.46961,1.14156,0.000693042,0.000693042,0.000693042
78,960.265,0.75615,0.48711,1.06955,0.91187,0.90498,0.94132,0.78695,0.8148,0.45002,1.1379,0.000687542,0.000687542,0.000687542
79,972.594,0.73588,0.48624,1.06284,0.93825,0.85089,0.92535,0.77876,0.80527,0.50323,1.1238,0.000682043,0.000682043,0.000682043
80,984.897,0.76025,0.48477,1.0589,0.92085,0.87363,0.90174,0.76765,0.78943,0.48697,1.11675,0.000676543,0.000676543,0.000676543
81,997.204,0.75571,0.47119,1.06173,0.90808,0.87041,0.9117,0.77208,0.80469,0.5402,1.11889,0.000671044,0.000671044,0.000671044
82,1009.52,0.7405,0.48394,1.06353,0.92248,0.92237,0.94314,0.79125,0.79239,0.45078,1.12123,0.000665545,0.000665545,0.000665545
83,1021.89,0.75374,0.48349,1.06697,0.86707,0.92427,0.94742,0.79368,0.80935,0.44332,1.12531,0.000660045,0.000660045,0.000660045
84,1034.23,0.72983,0.46455,1.05883,0.91751,0.90023,0.93319,0.78767,0.81102,0.43814,1.13711,0.000654546,0.000654546,0.000654546
85,1046.52,0.73368,0.46501,1.05296,0.93718,0.88547,0.93347,0.78081,0.82315,0.45321,1.14649,0.000649046,0.000649046,0.000649046
86,1058.82,0.72688,0.46094,1.05457,0.90795,0.89847,0.93912,0.78963,0.80179,0.44797,1.12943,0.000643547,0.000643547,0.000643547
87,1071.13,0.74269,0.46609,1.06418,0.8881,0.91024,0.93196,0.78066,0.81121,0.48057,1.13963,0.000638047,0.000638047,0.000638047
88,1083.45,0.73587,0.46292,1.05032,0.90741,0.87673,0.92975,0.7822,0.82024,0.46716,1.15598,0.000632548,0.000632548,0.000632548
89,1095.75,0.72126,0.47605,1.05361,0.94005,0.86353,0.93133,0.78467,0.8037,0.45853,1.12642,0.000627048,0.000627048,0.000627048
90,1108.06,0.72987,0.459,1.06594,0.90434,0.8996,0.92528,0.78639,0.79739,0.4786,1.12173,0.000621549,0.000621549,0.000621549
91,1120.36,0.73586,0.47584,1.06429,0.93478,0.8876,0.94554,0.79593,0.79187,0.43981,1.12184,0.000616049,0.000616049,0.000616049
92,1132.7,0.72545,0.47415,1.04932,0.9574,0.8933,0.94866,0.79983,0.79736,0.43532,1.12706,0.00061055,0.00061055,0.00061055
93,1145.07,0.7242,0.46733,1.06129,0.9445,0.91086,0.94617,0.78529,0.81275,0.44188,1.13786,0.000605051,0.000605051,0.000605051
94,1157.38,0.71217,0.46299,1.05022,0.94788,0.91172,0.95147,0.81137,0.79786,0.42249,1.13064,0.000599551,0.000599551,0.000599551
95,1169.75,0.70873,0.44032,1.05026,0.93676,0.92891,0.96395,0.81331,0.7869,0.39779,1.12421,0.000594052,0.000594052,0.000594052
96,1182.12,0.72398,0.46463,1.05309,0.93059,0.903,0.94972,0.80351,0.80412,0.43472,1.13403,0.000588552,0.000588552,0.000588552
97,1194.41,0.71392,0.44959,1.0459,0.92046,0.89028,0.93591,0.77744,0.81747,0.44661,1.14579,0.000583053,0.000583053,0.000583053
98,1206.72,0.70128,0.4408,1.04563,0.90431,0.90804,0.95559,0.80361,0.79034,0.44767,1.12982,0.000577553,0.000577553,0.000577553
99,1219.03,0.71709,0.47002,1.05956,0.90382,0.91119,0.93526,0.77375,0.81317,0.46464,1.13355,0.000572054,0.000572054,0.000572054
100,1231.36,0.69792,0.44909,1.04261,0.92211,0.89436,0.94613,0.79821,0.78886,0.44934,1.13001,0.000566554,0.000566554,0.000566554
101,1243.65,0.70427,0.44838,1.04669,0.93389,0.92213,0.9467,0.7953,0.826,0.43226,1.16294,0.000561055,0.000561055,0.000561055
102,1256.02,0.68468,0.4383,1.03793,0.88628,0.90018,0.93912,0.78209,0.79978,0.44603,1.12909,0.000555556,0.000555556,0.000555556
103,1268.35,0.6856,0.42445,1.03113,0.91998,0.89235,0.9435,0.80185,0.78963,0.42648,1.12774,0.000550056,0.000550056,0.000550056
104,1280.64,0.6839,0.43185,1.02793,0.90997,0.91251,0.94019,0.79026,0.79372,0.44524,1.14503,0.000544557,0.000544557,0.000544557
105,1292.93,0.68364,0.43379,1.0297,0.92986,0.90922,0.94831,0.80845,0.78776,0.41302,1.12556,0.000539057,0.000539057,0.000539057
106,1305.24,0.68994,0.4235,1.0344,0.93843,0.89398,0.94919,0.79838,0.80044,0.44091,1.1281,0.000533558,0.000533558,0.000533558
107,1317.53,0.67472,0.42067,1.0414,0.91996,0.88059,0.9347,0.7859,0.83692,0.46221,1.16168,0.000528058,0.000528058,0.000528058
108,1329.87,0.6836,0.41164,1.03682,0.88233,0.91503,0.94,0.80344,0.80322,0.43978,1.15067,0.000522559,0.000522559,0.000522559
109,1342.19,0.65872,0.41374,1.03154,0.92506,0.90852,0.95058,0.80396,0.81452,0.42028,1.14313,0.000517059,0.000517059,0.000517059
110,1354.5,0.66475,0.42135,1.03076,0.92996,0.87639,0.93799,0.79034,0.80508,0.44473,1.14082,0.00051156,0.00051156,0.00051156
111,1366.84,0.66741,0.4098,1.0206,0.92624,0.90053,0.92386,0.76922,0.82098,0.46771,1.14133,0.00050606,0.00050606,0.00050606
112,1379.21,0.65681,0.40341,1.02279,0.93865,0.8813,0.93509,0.78631,0.81203,0.44898,1.14722,0.000500561,0.000500561,0.000500561
113,1391.5,0.65926,0.40639,1.02526,0.90873,0.90378,0.91697,0.76545,0.8267,0.46896,1.15476,0.000495062,0.000495062,0.000495062
114,1403.83,0.65087,0.40755,1.03513,0.92323,0.9134,0.9376,0.78252,0.81974,0.45633,1.16098,0.000489562,0.000489562,0.000489562
115,1416.13,0.67965,0.40114,1.03934,0.929,0.89531,0.9307,0.78161,0.82057,0.46184,1.16002,0.000484063,0.000484063,0.000484063
116,1428.49,0.65641,0.39897,1.02872,0.92604,0.90081,0.9346,0.79437,0.79839,0.44899,1.14297,0.000478563,0.000478563,0.000478563
117,1440.8,0.66405,0.41034,1.04095,0.93472,0.90735,0.94477,0.79834,0.81412,0.42305,1.14691,0.000473064,0.000473064,0.000473064
118,1453.09,0.65317,0.40053,1.02288,0.9395,0.9077,0.93648,0.79111,0.79523,0.44298,1.13016,0.000467564,0.000467564,0.000467564
119,1465.43,0.64759,0.39903,1.01854,0.93727,0.90321,0.93358,0.78803,0.79812,0.4394,1.13673,0.000462065,0.000462065,0.000462065
120,1477.72,0.66497,0.401,1.03447,0.92559,0.89628,0.94022,0.80026,0.81568,0.42194,1.14648,0.000456565,0.000456565,0.000456565
121,1490.07,0.63653,0.42074,1.01718,0.9493,0.89658,0.94359,0.79372,0.8235,0.43329,1.1506,0.000451066,0.000451066,0.000451066
122,1502.38,0.64692,0.41062,1.02113,0.95221,0.88611,0.9473,0.79874,0.80699,0.42193,1.15426,0.000445567,0.000445567,0.000445567
123,1514.68,0.63883,0.40313,1.01537,0.91586,0.92052,0.95106,0.80484,0.82422,0.42282,1.15571,0.000440067,0.000440067,0.000440067
124,1527,0.6494,0.39891,1.02119,0.9494,0.88974,0.93456,0.78742,0.81913,0.43441,1.15704,0.000434568,0.000434568,0.000434568
125,1539.31,0.62474,0.40035,1.00785,0.94065,0.91937,0.9429,0.79024,0.81105,0.4299,1.15279,0.000429068,0.000429068,0.000429068
126,1551.6,0.62788,0.39955,1.01489,0.9414,0.90062,0.9442,0.79991,0.83206,0.4216,1.1646,0.000423569,0.000423569,0.000423569
127,1563.92,0.63515,0.38929,1.02101,0.95234,0.91308,0.93519,0.7855,0.81955,0.42999,1.16094,0.000418069,0.000418069,0.000418069
128,1576.23,0.63617,0.38487,1.01928,0.92099,0.91477,0.94237,0.80188,0.82016,0.4316,1.16416,0.00041257,0.00041257,0.00041257
129,1588.52,0.61247,0.3667,1.00744,0.93646,0.90438,0.93687,0.7827,0.81471,0.43738,1.16269,0.00040707,0.00040707,0.00040707
130,1600.88,0.62838,0.39801,1.01887,0.90824,0.90352,0.94157,0.79791,0.8082,0.42906,1.15182,0.000401571,0.000401571,0.000401571
131,1613.26,0.62351,0.39032,1.02088,0.92544,0.88722,0.94153,0.78862,0.81025,0.43446,1.15365,0.000396071,0.000396071,0.000396071
132,1625.62,0.61268,0.39008,1.00493,0.94895,0.90367,0.93964,0.79899,0.81438,0.43713,1.16306,0.000390572,0.000390572,0.000390572
133,1637.96,0.60021,0.36459,1.00062,0.91758,0.92596,0.93937,0.78861,0.82713,0.4443,1.17755,0.000385073,0.000385073,0.000385073
134,1650.25,0.58165,0.35252,0.99825,0.94423,0.90284,0.9373,0.79387,0.80838,0.43927,1.16675,0.000379573,0.000379573,0.000379573
135,1662.58,0.60345,0.38151,1.00849,0.91525,0.90245,0.93217,0.78457,0.82669,0.45906,1.17923,0.000374074,0.000374074,0.000374074
